Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_C18H15ClN4O2_uff_E=471.56,-7.3,0.0,0.0
6lu7_C23H20N2O_uff_E=2008.31,-6.9,0.0,0.0
6lu7_C21H18FNO_uff_E=469.56,-6.8,0.0,0.0
6lu7_C18H15ClN4O2_uff_E=471.56,-6.8,6.651,3.671
6lu7_C21H18FNO_uff_E=469.56,-6.5,7.139,2.851
6lu7_C21H18O2_uff_E=353.61,-6.4,0.0,0.0
6lu7_C21H18FNO_uff_E=469.56,-6.3,20.923,18.893
6lu7_C21H18FNO_uff_E=469.56,-6.2,0.0,0.0
6lu7_C18H15ClN4O2_uff_E=471.56,-6.2,6.017,3.844
6lu7_C21H21N3O3_uff_E=280.17,-6.2,0.0,0.0
6lu7_C21H21N3O3_uff_E=280.17,-6.2,2.676,1.638
6lu7_C21H18FNO_uff_E=469.56,-6.1,21.311,19.07
6lu7_C21H21N3O3_uff_E=280.17,-6.1,2.625,1.542
6lu7_C21H18FNO_uff_E=469.56,-6.0,15.532,12.742
6lu7_C21H18FNO_uff_E=469.56,-6.0,6.961,2.933
6lu7_C21H18FNO_uff_E=469.56,-6.0,8.207,5.203
6lu7_C19H18O2S_uff_E=399.14,-6.0,0.0,0.0
6lu7_C21H18FNO_uff_E=469.56,-5.9,20.969,19.096
6lu7_C19H18O2S_uff_E=399.14,-5.9,7.351,2.884
6lu7_C21H21N3O3_uff_E=280.17,-5.9,8.061,2.578
6lu7_C21H21N3O3_uff_E=280.17,-5.9,9.78,2.152
6lu7_C21H18FNO_uff_E=469.56,-5.8,20.243,18.313
6lu7_C21H18FNO_uff_E=469.56,-5.8,5.787,4.121
6lu7_C21H18FNO_uff_E=469.56,-5.8,5.898,2.453
6lu7_C18H15ClN4O2_uff_E=471.56,-5.8,19.523,17.992
6lu7_C21H25ClN2O3_uff_E=514.34,-5.8,0.0,0.0
6lu7_C23H20N2O_uff_E=2008.31,-5.8,5.529,2.617
6lu7_C21H18O2_uff_E=353.61,-5.8,6.613,3.817
6lu7_C21H18FNO_uff_E=469.56,-5.7,20.213,18.614
6lu7_C21H18FNO_uff_E=469.56,-5.7,8.866,5.747
6lu7_C18H13BrClNO2_uff_E=680.61,-5.7,0.0,0.0
6lu7_C23H20N2O_uff_E=2008.31,-5.7,5.729,2.187
6lu7_C21H21N3O3_uff_E=280.17,-5.7,22.028,19.819
6lu7_C21H21N3O3_uff_E=280.17,-5.7,10.403,2.361
6lu7_C21H21N3O3_uff_E=280.17,-5.7,1.851,1.598
6lu7_C21H18O2_uff_E=353.61,-5.7,22.905,20.149
6lu7_C21H18FNO_uff_E=469.56,-5.6,8.655,5.738
6lu7_C18H15ClN4O2_uff_E=471.56,-5.6,2.262,1.483
6lu7_C18H15ClN4O2_uff_E=471.56,-5.6,20.448,18.581
6lu7_C18H15ClN4O2_uff_E=471.56,-5.6,20.085,18.4
6lu7_C23H20N2O_uff_E=2008.31,-5.6,6.28,3.328
6lu7_C21H21N3O3_uff_E=280.17,-5.6,9.352,2.419
6lu7_C21H18O2_uff_E=353.61,-5.6,5.427,2.702
6lu7_C13H10N4OS3_uff_E=655.88,-5.6,0.0,0.0
6lu7_C21H18FNO_uff_E=469.56,-5.5,8.04,4.887
6lu7_C21H18FNO_uff_E=469.56,-5.5,8.921,5.666
6lu7_C21H18FNO_uff_E=469.56,-5.5,9.006,5.787
6lu7_C18H15ClN4O2_uff_E=471.56,-5.5,20.973,18.84
6lu7_C21H25ClN2O3_uff_E=514.34,-5.5,9.768,3.072
6lu7_C19H18O2S_uff_E=399.14,-5.5,19.997,18.215
6lu7_C23H20N2O_uff_E=2008.31,-5.5,5.424,2.2
6lu7_C23H20N2O_uff_E=2008.31,-5.5,8.034,3.228
6lu7_C23H20N2O_uff_E=2008.31,-5.5,6.109,3.147
6lu7_C23H20N2O_uff_E=2008.31,-5.5,2.246,1.948
6lu7_C23H20N2O_uff_E=2008.31,-5.5,5.147,2.212
6lu7_C21H18O2_uff_E=353.61,-5.5,20.712,18.73
6lu7_C21H18O2_uff_E=353.61,-5.5,3.827,2.179
6lu7_C21H18O2_uff_E=353.61,-5.5,2.189,1.409
6lu7_C13H10N4OS3_uff_E=655.88,-5.5,17.137,14.31
6lu7_C13H10N4OS3_uff_E=655.88,-5.5,7.351,3.312
6lu7_C18H15ClN4O2_uff_E=471.56,-5.4,20.384,18.342
6lu7_C18H13BrClNO2_uff_E=680.61,-5.4,8.251,4.216
6lu7_C18H13BrClNO2_uff_E=680.61,-5.4,20.187,19.343
6lu7_C21H25ClN2O3_uff_E=514.34,-5.4,21.096,19.316
6lu7_C21H18O2_uff_E=353.61,-5.4,6.121,3.562
6lu7_C21H18O2_uff_E=353.61,-5.4,4.444,2.567
6lu7_C13H10N4OS3_uff_E=655.88,-5.4,20.172,18.142
6lu7_C13H10N4OS3_uff_E=655.88,-5.4,19.949,19.094
6lu7_C18H13BrClNO2_uff_E=680.61,-5.3,20.851,19.927
6lu7_C18H13BrClNO2_uff_E=680.61,-5.3,6.063,4.737
6lu7_C18H13BrClNO2_uff_E=680.61,-5.3,7.826,3.633
6lu7_C18H13BrClNO2_uff_E=680.61,-5.3,7.862,4.887
6lu7_C21H25ClN2O3_uff_E=514.34,-5.3,21.45,19.551
6lu7_C21H25ClN2O3_uff_E=514.34,-5.3,22.245,19.71
6lu7_C19H18O2S_uff_E=399.14,-5.3,7.057,2.018
6lu7_C13H10N4OS3_uff_E=655.88,-5.3,22.441,19.44
6lu7_C21H25ClN2O3_uff_E=514.34,-5.2,21.738,19.604
6lu7_C13H10N4OS3_uff_E=655.88,-5.2,7.353,3.308
6lu7_C21H25ClN2O3_uff_E=514.34,-5.1,9.431,3.161
6lu7_C21H25ClN2O3_uff_E=514.34,-5.1,22.288,20.135
6lu7_C21H25ClN2O3_uff_E=514.34,-5.1,16.498,13.38
6lu7_C13H10N4OS3_uff_E=655.88,-5.1,22.185,19.448
6lu7_C13H10N4OS3_uff_E=655.88,-5.1,22.346,20.155
6lu7_C19H18O2S_uff_E=399.14,-5.0,19.76,18.28
6lu7_C18H13BrClNO2_uff_E=680.61,-4.9,7.109,4.088
6lu7_C18H13BrClNO2_uff_E=680.61,-4.9,4.558,3.551
6lu7_C19H18O2S_uff_E=399.14,-4.9,1.968,1.444
6lu7_C19H18O2S_uff_E=399.14,-4.8,19.283,17.923
6lu7_C19H18O2S_uff_E=399.14,-4.8,14.212,11.426
6lu7_C19H18O2S_uff_E=399.14,-4.7,20.519,18.362
6lu7_C20H22ClN5O_uff_E=-1.#R,-1.0,0.0,0.0
